55.;06/11/100/0000277/2017;PMK;2017-02-02;2017-02-02;;100/00125/17/1/210;2017-02-02;630.00;;389.55;0.00;1019.55
56.;06/11/100/0000278/2017;PMK;2017-02-02;2017-02-03;;100/00132/17/1/210;2017-02-03;1842.40;;1754.09;0.00;3596.49
57.;06/11/100/0000279/2017;WSV;2017-02-03;2017-02-03;40860;243/00011/17/X/210;2017-02-28;957.60;;391.68;0.00;1349.28
58.;06/11/100/0000280/2017;PMK;2017-02-03;2017-02-04;;100/00136/17/1/210;2017-02-04;710.50;;2.28;0.00;712.78
59.;06/11/100/0000281/2017;PMK;2017-02-03;2017-02-03;;100/00130/17/1/210;2017-02-03;1575.00;;1017.54;0.00;2592.54
60.;06/11/100/0000282/2017;NMK;2017-02-03;2017-02-03;;100/00129/17/1/210;2017-02-03;0.00;;70.87;0.00;70.87
61.;06/11/100/0000282/2017;WSV;2017-02-03;2017-02-07;40967;243/00011/17/X/210;2017-02-28;957.60;;391.68;0.00;1349.28
62.;06/11/100/0000283/2017;WSV;2017-02-03;2017-02-03;40866;243/00011/17/X/210;2017-02-28;957.60;;391.68;0.00;1349.28
63.;06/11/100/0000284/2017;NMK;2017-02-03;2017-02-27;;100/00207/17/1/210;2017-02-27;240.00;;1872.64;0.00;2112.64
64.;06/11/100/0000284/2017;PMD;2017-02-03;2017-02-23;;155/00056/17/A1/210;2017-02-23;100.80;;3260.58;0.00;3361.38
65.;06/11/100/0000285/2017;WSV;2017-02-03;2017-02-06;40928;243/00011/17/X/210;2017-02-28;319.20;;353.57;0.00;672.77
66.;06/11/100/0000286/2017;PMK;2017-02-03;2017-02-03;;100/00134/17/1/210;2017-02-03;976.50;;457.90;0.00;1434.40
67.;06/11/100/0000287/2017;NMK;2017-02-03;2017-02-03;;100/00131/17/1/210;2017-02-03;166.25;;0.00;0.00;166.25
68.;06/11/100/0000288/2017;NMK;2017-02-03;2017-02-03;;100/00133/17/1/210;2017-02-03;0.00;;12.80;0.00;12.80
69.;06/11/100/0000288/2017;WSV;2017-02-03;2017-02-03;40884;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
70.;06/11/100/0000289/2017;WSV;2017-02-03;2017-02-03;40885;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
