OTH-405 Zestawienie dokumentów magazynowych za okres od 2017-02-01 do 2017-02-28Oddzia³ (06) 210-LEXUS WARSZAWA-PULAWSKA (210), Dzia³ (21) 210 MAGAZYN LEXUSPodsumowania po dokumentach w³asnychWybrano dokumenty z fakturami/specyfikacjami sprzeda¿y i bez faktur/specyfikacji sprzeda¿y;;;;;;;;
Symb.dok.;Nr dokumentu;z dnia;Komórka organizacyjnaKontrahent;Nr dokumentuzakupowego/sprzeda¿y/zlecenia;;Iloœæpozycji;Wart. wgcen zak.;Wart. wgcen sprz.
RwZ;06/21/200/0000403/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000299/2017;;1;476.68;711.46
RwZ;06/21/200/0000404/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000285/2017;;2;353.57;415.96
RwZ;06/21/200/0000405/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000301/2017;;7;177.31;435.61
RwZ;06/21/200/0000406/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000224/2017;;1;289.65;407.96
RwZ;06/21/200/0000407/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000293/2017;;1;14.58;14.97
RwZ;06/21/200/0000408/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000284/2017;;1;1872.64;4928.00
RwZ;06/21/200/0000409/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000284/2017;;1;14.58;14.97

Dealer Management System wer.4.14.554.0 Sporz¹dzi³: Administrator aplikacji 2017-06-27 12:57:34;;;;;strona 1 / 5;;;
OTH-405 Zestawienie dokumentów magazynowych za okres od 2017-02-01 do 2017-02-28Oddzia³ (06) 210-LEXUS WARSZAWA-PULAWSKA (210), Dzia³ (21) 210 MAGAZYN LEXUSPodsumowania po dokumentach w³asnychWybrano dokumenty z fakturami/specyfikacjami sprzeda¿y i bez faktur/specyfikacji sprzeda¿y;;;;;;;;
Symb.dok.;Nr dokumentu;z dnia;Komórka organizacyjnaKontrahent;Nr dokumentuzakupowego/sprzeda¿y/zlecenia;;Iloœæpozycji;Wart. wgcen zak.;Wart. wgcen sprz.
RwZ;06/21/200/0000410/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000222/2017;;1;221.69;280.62
RwZ;06/21/200/0000411/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000222/2017;;1;211.51;267.74
RwZ;06/21/200/0000412/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000310/2017;;1;794.45;1031.75
RwZ;06/21/200/0000413/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000282/2017;;1;38.11;44.84
RwZ;06/21/200/0000414/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000312/2017;;4;5045.79;7551.86
RwZ;06/21/200/0000415/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000307/2017;;3;184.06;214.38
RwZ;06/21/200/0000416/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000311/2017;;1;13.43;25.86
RwZ;06/21/200/0000417/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000313/2017;;14;447.21;893.31
RwZ;06/21/200/0000418/2017;2017-02-07;110-Serwis - blacharnia lakiernia;Zl 06/11/110/0000010/2017;;32;7947.74;10698.81
RwZ;06/21/200/0000419/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000317/2017;;1;182.90;339.32
RwZ;06/21/200/0000420/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000307/2017;;7;288.42;677.40
RwZ;06/21/200/0000421/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000307/2017;;1;249.15;439.40
RwZ;06/21/200/0000422/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000309/2017;;2;302.96;380.01
RwZ;06/21/200/0000423/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000318/2017;;2;72.93;132.74
RwZ;06/21/200/0000424/2017;2017-02-07;100-Serwis mechaniczny;Zl 06/11/100/0000318/2017;;1;16.54;57.85
RwZ;06/21/200/0000425/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000307/2017;;2;74.75;128.87
RwZ;06/21/200/0000426/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000319/2017;;7;203.56;528.17
RwZ;06/21/200/0000427/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000319/2017;;6;1471.49;2207.31
RwZ;06/21/200/0000428/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000320/2017;;10;445.89;888.98
RwZ;06/21/200/0000429/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000322/2017;;3;400.89;460.80
RwZ;06/21/200/0000430/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000323/2017;;7;290.07;683.19
RwZ;06/21/200/0000431/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000320/2017;;1;165.38;222.32
