06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000368;A08823-80111;szt;1,00;17.16;17.16;P£YN HAMULCOWY DOT-4 0,5L
06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000368;A08880-82720;l;6,300;16.54;104.20;TGMO 5W30 PREMIUM C2 208
06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000368;A08889-80150;szt;1,00;27.64;27.64;P£YN CH£ODN. ROZTW”R SLLC 1L
06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000368;A87139-YZZ30;szt;1,00;51.45;51.45;FILTR PRZECIW PY£KOWY W GLOWY
06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000368;A90080-43037;szt;1,00;3.93;3.93;USZCZELKA KORKA SPUSTOWEGO OLEJU
06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000368;A90919-01247;szt;6,00;45.10;270.60;åWIECA ZAP£ONOWA
06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000368;D4493;szt;0,10;119.18;11.92;SMAR DO HAMULC”W
06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000368;H89010810-6;szt;1,00;6.95;6.95;ZMYWACZ DO HAMULC”W WURTH
06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000368;IN.J12024;szt;0,10;32.84;3.28;SMAR DO T£OCZK”W NIEBIESKI
06/11/100/0000276/2017;N;2017-02-02;;200/RwZ/0000370;A04465-48190;szt;1,00;321.04;321.04;KLOCKI HAMULCOWE PRZ”D
06/11/100/0000280/2017;N;2017-02-03;;200/RwZ/0000388;A43550-30071;szt;1,00;1076.08;1076.08;PIASTA PRZ. Z £OØYSKIEM
06/11/100/0000319/2017;N;2017-02-08;;200/RwZ/0000432;A85214-68020;szt;1,00;42.94;42.94;GUMKA WYCIERACZKI zam-02220,52110,02340
06/11/100/0000344/2017;N;2017-02-10;;200/RwZ/0000476;A99132-YZZBA;szt;4,00;1.06;4.24;ØAR”WKA BEZCOKO£OWA W5W
06/11/100/0000350/2017;D-PMD;2017-02-10;;200/RwZ/0000524;HPLYN-ZIMA22;szt;0,50;13.43;6.72;P£YN SPRYSK. ZIMOWY 5L -22
06/11/100/0000354/2017;D-PMD;2017-02-13;;200/RwZ/0000490;IN.KK20;szt;0,10;72.92;7.29;KONC. P£YN. ZIMOWEGO  -70C
06/11/100/0000393/2017;N;2017-02-17;;200/RwZ/0000539;A04152-YZZA1;szt;1,00;22.04;22.04;FILTR OLEJU zam.31090
06/11/100/0000393/2017;N;2017-02-17;;200/RwZ/0000539;A08823-80111;szt;1,00;17.16;17.16;P£YN HAMULCOWY DOT-4 0,5L
06/11/100/0000393/2017;N;2017-02-17;;200/RwZ/0000539;A08880-82720;l;4,700;16.54;77.74;TGMO 5W30 PREMIUM C2 208
06/11/100/0000393/2017;N;2017-02-17;;200/RwZ/0000539;A08885-81060;szt;1,50;69.40;104.10;OLEJ DO MOSTU LT 75W85
06/11/100/0000393/2017;N;2017-02-17;;200/RwZ/0000539;A12157-10010;szt;2,00;3.33;6.66;USZCZELKA MOSTU
06/11/100/0000393/2017;N;2017-02-17;;200/RwZ/0000539;A87139-30100;szt;1,00;133.49;133.49;FILTR KLIMATYZACJI
